Time,Month,Plot,Diversity,Disturbance,Treatment,Depth,cor_ofi,clad_rup,ulv_com,osm_hyb,osm_pin,cha_lin,rho_sp,pol_elo,cer_nod,ulv_lac,bon_ham,dum_cor,gas_ova,hal_sil,chy_ver,cal_sp,cod_fra,cho_cri,gel_cri,dic_dic,fuc_juv,fuc_ser,rhi_rip,him_elo,pol_fuc,lom_art,ect_sp,por_sp,cla_spo,cal_jub,gel_pul,ela_fuc,ahn_pli,cyst_tam,sar_mut,fuc_spir,ala_esc,lea_dif,lam_juv,mes_lic,hil_sp,eud_vir,ulv_int,scy_lom,cla_pel,cer_ech,hal_flo,ulo_sp,der_mar,apo_rus,bry_sp,plo_car,pol_rot,pte_par,fur_lum,plu_plu,lit_sp
1.0,May ,12,-L,No,-L,5.0,92.1875,3.125,0.0,6.25,7.8125,0.0,0.0,0.0,0.0,3.125,1.5625,21.875,1.5625,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.375
1.0,May ,13,-P,Yes,-P Dist,3.0,18.75,0.0,0.0,9.375,3.125,0.0,0.0,0.0,7.8125,1.0,17.1875,9.375,0.0,0.0,0.0,0.0,0.0,28.125,0.0,0.0,0.0,48.4375,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6875,4.6875
1.0,May ,14,+PGL,No,+PGL,3.5,90.625,1.5625,0.0,1.5625,1.5625,0.0,1.0,0.0,1.0,20.3125,4.6875,0.0,4.6875,0.0,4.6875,0.0,0.0,0.0,0.0,0.0,0.0,28.125,0.0,0.0,0.0,0.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.375
1.0,May ,15,-PGL,Yes,-PGL Dist,4.0,89.0625,4.6875,0.0,6.25,12.5,0.0,4.6875,0.0,0.0,4.6875,0.0,6.25,4.6875,0.0,4.6875,0.0,1.5625,0.0,0.0,0.0,1.5625,32.8125,0.0,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6875
1.0,May ,16,-G,Yes,-G Dist,3.0,67.1875,15.625,0.0,7.8125,10.9375,0.0,0.0,0.0,0.0,3.125,3.125,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,9.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5625
1.0,May ,17,-G,Yes,-G Dist,3.0,57.8125,15.625,0.0,1.5625,0.0,0.0,1.5625,0.0,0.0,3.125,1.5625,0.0,0.0,0.0,0.0,0.0,9.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25
1.0,May ,18,-P,No,-P,8.5,53.125,64.0625,0.0,7.8125,0.0,0.0,4.6875,4.6875,4.6875,9.375,6.25,32.8125,0.0,0.0,0.0,0.0,0.0,7.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125
1.0,May ,19,-PGL,No,-PGL,5.0,71.875,78.125,0.0,0.0,1.0,0.0,1.5625,3.125,0.0,0.0,1.5625,7.8125,0.0,0.0,0.0,0.0,0.0,9.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5625
1.0,May ,20,-P,Yes,-P Dist,4.0,39.0625,42.1875,0.0,18.75,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,28.125,0.0,0.0,0.0,0.0,0.0,1.0,10.9375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,4.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
1.0,May ,21,-PGL,Yes,-PGL Dist,4.0,81.25,14.0625,0.0,12.5,1.5625,0.0,0.0,0.0,0.0,0.0,1.5625,18.75,0.0,0.0,0.0,0.0,0.0,3.125,3.125,1.5625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5
1.0,May ,22,+PGL,No,+PGL,4.0,82.8125,9.375,0.0,4.6875,0.0,0.0,0.0,1.5625,7.8125,17.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.125
1.0,May ,23,-G,Yes,-G Dist,3.5,73.4375,9.375,0.0,4.6875,1.5625,1.0,0.0,4.6875,0.0,0.0,0.0,3.125,0.0,0.0,0.0,0.0,0.0,6.25,9.375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3125
1.0,May ,24,-L,Yes,-L Dist,3.5,39.0625,1.0,3.125,25.0,10.9375,0.0,0.0,0.0,0.0,3.125,0.0,62.5,0.0,0.0,0.0,0.0,0.0,4.6875,9.375,0.0,0.0,14.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
1.0,May ,25,-G,Yes,-G Dist,4.5,89.0625,1.0,0.0,7.8125,3.125,0.0,0.0,0.0,0.0,3.125,1.0,31.25,0.0,0.0,3.125,0.0,0.0,1.0,1.5625,1.5625,0.0,0.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.375
1.0,May ,26,-P,No,-P,4.0,90.625,6.25,0.0,18.75,23.4375,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.9375,0.0,0.0,0.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3125
1.0,May ,27,-L,No,-L,6.0,73.4375,1.0,0.0,25.0,20.3125,0.0,0.0,0.0,0.0,0.0,1.0,1.5625,6.25,0.0,1.5625,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5625
1.0,May ,28,+PGL,Yes,+PGL Dist,2.5,85.9375,3.125,0.0,1.5625,15.625,0.0,0.0,6.25,15.625,7.8125,1.0,23.4375,4.6875,0.0,1.5625,0.0,0.0,1.5625,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75
1.0,May ,29,-PGL,No,-PGL,2.5,79.6875,25.0,0.0,6.25,0.0,0.0,0.0,6.25,1.5625,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1.5625,14.0625,0.0,0.0,1.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8125
