microcosmID,combination,temperature,predicted_species,richness,replicate,day,species_biomass,total_biomass
2,Colp,15,Colp,1,3,1,0.0769961134645656,0.0769961134645656
2,Colp,15,Colp,1,3,3,0.0750328699856762,0.0750328699856762
2,Colp,15,Colp,1,3,5,0.0755380856701828,0.0755380856701828
2,Colp,15,Colp,1,3,7,0.0970252042435554,0.0970252042435554
2,Colp,15,Colp,1,3,9,0.0712202484024906,0.0712202484024906
2,Colp,15,Colp,1,3,11,0.0789273660267024,0.0789273660267024
2,Colp,15,Colp,1,3,13,0.0829740870978367,0.0829740870978367
2,Colp,15,Colp,1,3,15,0.0568943685440257,0.0568943685440257
2,Colp,15,Colp,1,3,17,0.0187928631346424,0.0187928631346424
2,Colp,15,Colp,1,3,19,0.0319497220250001,0.0319497220250001
2,Colp,15,Colp,1,3,21,0.0458556798052156,0.0458556798052156
2,Colp,15,Colp,1,3,23,0.0399865057963842,0.0399865057963842
2,Colp,15,Colp,1,3,25,0.0543615554758211,0.0543615554758211
2,Colp,15,Colp,1,3,27,0.0418832450210525,0.0418832450210525
2,Colp,15,Colp,1,3,29,0.0261000210535235,0.0261000210535235
2,Colp,15,Colp,1,3,31,0.0395382872950989,0.0395382872950989
2,Colp,15,Colp,1,3,33,0.053878623408023,0.053878623408023
2,Colp,15,Colp,1,3,35,0.0315583476836869,0.0315583476836869
2,Colp,15,Colp,1,3,37,0.0522458425894001,0.0522458425894001
14,Colp,15,Colp,1,1,1,0.129141491476573,0.129141491476573
14,Colp,15,Colp,1,1,3,0.126380721321633,0.126380721321633
14,Colp,15,Colp,1,1,5,0.119288061352031,0.119288061352031
14,Colp,15,Colp,1,1,7,0.0726226117334987,0.0726226117334987
14,Colp,15,Colp,1,1,9,0.0659278843326817,0.0659278843326817
14,Colp,15,Colp,1,1,11,0.0563376256614003,0.0563376256614003
14,Colp,15,Colp,1,1,13,0.0624533060795827,0.0624533060795827
14,Colp,15,Colp,1,1,15,0.0663039657520808,0.0663039657520808
14,Colp,15,Colp,1,1,17,0.050554209081196,0.050554209081196
14,Colp,15,Colp,1,1,19,0.0362964996996041,0.0362964996996041
14,Colp,15,Colp,1,1,21,0.0525647819907305,0.0525647819907305
14,Colp,15,Colp,1,1,23,0.0474943166189364,0.0474943166189364
14,Colp,15,Colp,1,1,25,0.083757812196725,0.083757812196725
14,Colp,15,Colp,1,1,27,0.0547702644510373,0.0547702644510373
14,Colp,15,Colp,1,1,29,0.0189482711819264,0.0189482711819264
14,Colp,15,Colp,1,1,31,0.0294764803125037,0.0294764803125037
14,Colp,15,Colp,1,1,33,0.0278946799002518,0.0278946799002518
14,Colp,15,Colp,1,1,35,0.0160630358193378,0.0160630358193378
14,Colp,15,Colp,1,1,37,0.0217615472030183,0.0217615472030183
35,Colp,15,Colp,1,2,1,0.0905681754552967,0.0905681754552967
35,Colp,15,Colp,1,2,3,0.108398726533099,0.108398726533099
35,Colp,15,Colp,1,2,5,0.121100002356937,0.121100002356937
35,Colp,15,Colp,1,2,7,0.0902024385220785,0.0902024385220785
35,Colp,15,Colp,1,2,9,0.0712464410719801,0.0712464410719801
35,Colp,15,Colp,1,2,11,0.046856991069297,0.046856991069297
35,Colp,15,Colp,1,2,13,0.0567273995268543,0.0567273995268543
35,Colp,15,Colp,1,2,15,0.0777516401134944,0.0777516401134944
35,Colp,15,Colp,1,2,17,0.0597060453001315,0.0597060453001315
35,Colp,15,Colp,1,2,19,0.0304158744726816,0.0304158744726816
35,Colp,15,Colp,1,2,21,0.0694075550340934,0.0694075550340934
35,Colp,15,Colp,1,2,23,0.0782804275937963,0.0782804275937963
35,Colp,15,Colp,1,2,25,0.0521967387719432,0.0521967387719432
35,Colp,15,Colp,1,2,27,0.0332116841793197,0.0332116841793197
35,Colp,15,Colp,1,2,29,0.0382549377491631,0.0382549377491631
35,Colp,15,Colp,1,2,31,0.0427959918351204,0.0427959918351204
35,Colp,15,Colp,1,2,33,0.034713932911685,0.034713932911685
35,Colp,15,Colp,1,2,35,0.041061935961735,0.041061935961735
35,Colp,15,Colp,1,2,37,0.0213135002396683,0.0213135002396683
124,Colp,17,Colp,1,1,1,0.128386762461165,0.128386762461165
124,Colp,17,Colp,1,1,3,0.119521868711893,0.119521868711893
124,Colp,17,Colp,1,1,5,0.110656974962621,0.110656974962621
124,Colp,17,Colp,1,1,7,0.0493086485419037,0.0493086485419037
124,Colp,17,Colp,1,1,9,0.0464407053947995,0.0464407053947995
124,Colp,17,Colp,1,1,11,0.0486772959374558,0.0486772959374558
124,Colp,17,Colp,1,1,13,0.0594991847152742,0.0594991847152742
124,Colp,17,Colp,1,1,15,0.0775522915752204,0.0775522915752204
124,Colp,17,Colp,1,1,17,0.0832529568583723,0.0832529568583723
124,Colp,17,Colp,1,1,19,0.0626741951285627,0.0626741951285627
124,Colp,17,Colp,1,1,21,0.0607343141559427,0.0607343141559427
