row,Colp,Dexio,Loxo,Para,Spiro,Tetra,temperature
Colp,0.0,0.5812875424365807,13.8949225353247,0.07715739360206324,0.8976417304219559,2.1326278041027136,15
Dexio,-0.26023288650577364,0.0,2.530419195078401,-0.29327877426220894,-0.09998961514057776,-0.10281026106901442,15
Loxo,-0.256032321471293,-0.2890589322273269,0.0,-0.375533164789479,-0.4962158046677063,-0.030003824375895903,15
Para,0.23270863754521828,-0.08181927557689665,6.298029269043276,0.0,-0.1078008281804911,1.5527358232822825,15
Spiro,-0.24053458318029386,-0.45084330593804633,1.8120327497956146,-0.6040637306103682,0.0,-2.2567173212266907,15
Tetra,-0.6236065264081991,-0.10978108356982182,-0.8720732932265642,-0.5341264013337741,-1.6622582384409195,0.0,15
Colp,0.0,0.5864189094402286,13.63785072743614,-0.11954997330973932,0.08967943743809814,2.756628490275169,17
Dexio,-0.53266907298587,0.0,0.792917151746073,-0.47858934564590067,-1.025357941061709,-0.5736100469011632,17
Loxo,-0.30669129103158344,-0.4808988256039159,0.0,-0.4838950455865622,-0.4585834979393238,-0.5369311399394374,17
Para,0.0984248690551691,0.06565508884183055,6.024819629587798,0.0,0.04732101526932015,0.5035590692626185,17
Spiro,-0.31670870654742067,-1.0255268486861693,2.183838633298668,-0.5323452689646874,0.0,-1.7716188589719646,17
Tetra,-0.5606850002521262,-0.5161129294298213,-0.8475289258230729,-0.597708339374967,-1.4149395338286765,0.0,17
Colp,0.0,-0.20820932654718605,9.42812282772483,-0.21206252824756494,0.5098050057841123,2.4376341506532095,19
Dexio,-0.752036676171558,0.0,-0.01739484074559204,-0.7562568541985795,-1.1003499247520385,-0.4349168033327266,19
Loxo,-0.4029360019520475,-0.6717576103358793,0.0,-0.5865018411328939,-0.5810969050323133,2.922804054432579,19
Para,0.09141611885999215,-0.2598706211841318,10.538986001008132,0.0,-0.6115202988493251,0.06549762668339584,19
Spiro,-0.25336833390644775,-1.1694636649308698,2.0817859337867226,-0.8431885079419935,0.0,-1.068436502930437,19
Tetra,-0.670289598192288,-0.2612696232906186,-0.45172392556782737,-0.7204086524409737,-1.0153311813660424,0.0,19
Colp,0.0,1.6973325533061359,6.886914689609596,-0.19969181548789686,0.5984849172581028,0.3597305549157368,21
Dexio,-0.4887864240125347,0.0,0.4317202963889365,-0.4963484821976354,-0.9888384145791934,-0.09447831502987811,21
Loxo,-0.2652794269232521,-0.38474400642232165,0.0,-0.3934176449566524,-0.5487325291723854,-0.4288677508494417,21
Para,-0.009581135860000894,0.7234301369425332,9.759249245445458,0.0,-0.040005783000176924,0.43695958559899895,21
Spiro,-0.11134198587937735,-0.9789350795507181,3.0295714186803098,-0.5468293143058617,0.0,-0.022297089247435245,21
Tetra,-0.4587067576824898,1.492464049040997,-0.35515989146617244,-0.4264983428623564,-0.375819942258112,0.0,21
Colp,0.0,2.0366339945087653,6.300985826891903,-0.24395054900725177,0.7628462784164429,2.030984233476999,23
Dexio,-0.20688560433993292,0.0,1.1857864443830326,-0.33967345071087396,-0.3240835653821439,0.07499467394902275,23
Loxo,-0.25710616919379287,-0.13021696412978653,0.0,-0.4602509390505144,-0.23471973582675904,0.1516594720174128,23
Para,0.4035508639526989,0.3981737328605543,9.123610284124037,0.0,0.41590657349511,1.835411192420399,23
Spiro,-0.2567360302953323,-0.3311063519106793,2.0499860848530562,-0.5100329609332179,0.0,-0.39177659193146314,23
Tetra,-0.4160696198708175,0.7975191542055633,-0.18433384787165003,-0.4038658854758731,-0.5136101415213358,0.0,23
Colp,0.0,1.7495595629264535,3.3356133984919705,-0.008825377124725918,0.9179296688107931,0.9911529650918178,25
Dexio,-0.29998214446591254,0.0,-0.3296090592191128,-0.7634153621603241,-1.0226071839241173,0.009489940440587638,25
Loxo,-0.14103339847707777,-0.6109272796927225,0.0,-0.7799329111771863,-0.5377082854143586,0.06889111238258713,25
Para,-0.0756772826935599,-0.26097424342015496,1.692362806774773,0.0,-0.48755790831239526,-0.02181542894877103,25
Spiro,-0.17937100925309304,-1.0392932602539207,1.662927392683325,-0.7686713731836147,0.0,-0.22738040061127324,25
Tetra,0.04874094177416458,3.7635753696803347,0.9353868688474324,-0.007722986191142028,1.0826231887688522,0.0,25
